agent_id,sex,age,education_level,social_class,is_alive,name,role,family_id,home_zone,work_zone,wealth,income_per_day,satisfaction,goals,integrity,greed,ambition,family_loyalty,competence,empathy,initial_trust_score
1,M,30,5,middle,TRUE,Albert Santiago,teacher,Santiago,resB,school,351660.23,1109.89,41.62,Support student learning | Monitor construction complaints in resB | Share verified updates with neighbors for Cruz-Montemayor household,0.688,0.103,0.644,0.778,0.828,0.693,0.688
29,F,39,2,middle,TRUE,Esperanza Valenzuela,factory_plant_worker,Valenzuela,resB,factory,378447.14,744.93,42.73,Maintain shift attendance | Monitor permit delays in resB | Share verified updates during commute routes for Valenzuela household,0.639,0.352,0.462,0.817,0.439,0.203,0.140
30,F,34,2,lower,TRUE,Cristina Castillo,skilled_tradesperson,Castillo,resC,field_service,60450.39,1820.57,71.17,Maintain client referrals | Monitor barangay aid lists in resC | Share verified updates during barangay visits for Castillo household,0.485,0.286,0.654,0.714,0.281,0.389,0.193
31,M,31,3,lower,TRUE,Bernardo Rizal,market_vendor,Rizal,resC,market,157289.55,605.78,52.61,Protect stall income and customers | Monitor market prices in resC | Share verified updates through family chats for Rizal household,0.284,0.268,0.476,0.313,0.560,0.421,0.304
32,F,17,2,lower,TRUE,Irene Salazar-Chua,student,Salazar-Chua,resC,school,104725.94,0.00,36.54,Finish school requirements | Monitor medicine availability in resC | Share verified updates with neighbors for Salazar-Chua household,0.589,0.128,0.576,0.570,0.372,0.438,0.117
33,M,28,4,lower,TRUE,Lorenzo Cruz-Laurel,police_officer,Cruz-Laurel,resC,police_station,116490.99,1375.55,34.01,Maintain patrol readiness around resC | Verify safety reports before they spread | Build trust with the Cruz-Laurel household through Lorenzo's barangay beat,0.894,0.147,0.740,0.768,0.732,0.649,0.726
34,M,20,4,lower,TRUE,Berto Salazar,skilled_tradesperson,Salazar,resC,field_service,36282.10,1381.74,41.46,Maintain client referrals | Monitor election promises in resC | Share verified updates at the market for Salazar household,0.512,0.209,0.528,0.443,0.923,0.489,0.549
35,M,17,2,lower,TRUE,Paulo Go,student,Go,resC,school,86793.50,0.00,45.30,Finish school requirements | Monitor permit delays in resC | Share verified updates through family chats for Go household,0.484,0.245,0.469,0.737,0.540,0.530,0.131
36,M,74,5,upper,TRUE,Ulysses Salazar-Ilagan,elder_retiree,Salazar-Ilagan,resA,residential_area,536072.01,2682.62,53.77,Protect household routines | Monitor barangay aid lists in resA | Share verified updates through coworkers for Salazar-Ilagan household,0.485,0.299,0.382,0.643,0.888,0.428,0.254
37,F,73,3,upper,TRUE,Louise Cruz-Co,elder_retiree,Cruz-Co,resA,residential_area,494882.46,2920.25,48.51,Protect household routines | Monitor budget gossip in resA | Share verified updates through coworkers for Cruz-Co household,0.458,0.396,0.270,0.567,0.611,0.362,0.200
38,M,42,5,lower,TRUE,Andres Natividad,teacher,Natividad,resC,school,103097.47,1160.06,58.61,Support student learning | Monitor health-center queues in resC | Share verified updates through school contacts for Natividad household,0.513,0.379,0.840,0.490,0.711,0.730,0.484
39,M,36,1,middle,TRUE,Samuel Cruz-Espiritu,factory_plant_worker,Cruz-Espiritu,resB,factory,136517.95,800.48,55.71,Maintain shift attendance | Monitor election promises in resB | Share verified updates during barangay visits for Cruz-Espiritu household,0.236,0.435,0.686,0.777,0.413,0.503,0.264
40,F,44,2,lower,TRUE,Carla Ilagan,unemployed_jobseeker,Ilagan,resC,residential_area,37218.32,70.15,27.24,Find stable short-term work | Monitor market prices in resC | Share verified updates through coworkers for Ilagan household,0.298,0.479,0.443,0.447,0.538,0.616,0.330
41,F,60,3,middle,TRUE,Ligaya David,barangay_kagawad,David,resB,barangay_hall,285859.51,1776.93,59.76,Respond to resident concerns | Monitor market prices in resB | Share verified updates with neighbors for Salazar-Dimaculangan household,0.286,0.535,0.894,0.841,0.720,0.674,0.534
42,M,42,5,middle,TRUE,Bernardo Cruz-Macapagal,sari_sari_store_owner,Cruz-Macapagal,resB,neighborhood_store,335618.11,1221.72,47.71,Keep neighborhood store stocked | Monitor budget gossip in resB | Share verified updates with neighbors for Cruz-Macapagal household,0.659,0.388,0.375,0.360,0.907,0.440,0.436
43,M,23,4,lower,TRUE,Warren Cruz-Tuazon,unemployed_jobseeker,Cruz-Tuazon,resC,residential_area,77196.98,35.94,33.09,Find stable short-term work | Monitor budget gossip in resC | Share verified updates with neighbors for Cruz-Tuazon household,0.650,0.336,0.595,0.606,0.648,0.440,0.315
44,F,61,4,upper,TRUE,Theresa Salazar-Bernal,private_sector_manager,Salazar-Bernal,resA,business_district,723376.53,6511.07,58.49,Meet team and business targets | Monitor road repairs in resA | Share verified updates with neighbors for Salazar-Bernal household,0.670,0.308,0.716,0.482,0.760,0.879,0.814
45,M,62,4,upper,TRUE,Antonio Santiago,councilor,Santiago,resA,city_hall,964868.21,5313.20,56.97,Serve district requests | Monitor construction complaints in resA | Share verified updates at community meetings for Salazar-Fajardo household,0.115,0.589,0.712,0.874,0.923,0.526,0.582
46,F,17,2,middle,TRUE,Katrina Torres,student,Torres,resB,school,189550.71,0.00,37.76,Finish school requirements | Monitor budget gossip in resB | Share verified updates through coworkers for Torres household,0.482,0.256,0.383,0.301,0.600,0.383,0.252
47,F,47,1,middle,TRUE,Gloria Salazar-Macapagal,market_vendor,Salazar-Macapagal,resB,market,406171.30,1029.38,56.61,Protect stall income and customers | Monitor job leads in resB | Share verified updates at the market for Salazar-Macapagal household,0.583,0.459,0.490,0.622,0.372,0.177,0.200
48,M,46,2,lower,TRUE,Ricardo Cruz-Hernandez,construction_worker,Cruz-Hernandez,resC,construction_site,83479.25,541.40,53.45,Keep steady construction work | Monitor family welfare in resC | Share verified updates through coworkers for Cruz-Hernandez household,0.504,0.484,0.446,0.457,0.550,0.299,0.213
49,F,34,4,lower,TRUE,Cristina Gonzales,police_officer,Gonzales,resC,police_station,91044.33,1131.97,51.28,Maintain patrol readiness around resC | Verify safety reports before they spread | Build trust with the Gonzales household through Cristina's barangay beat,0.848,0.282,0.719,0.617,0.595,0.674,0.499
50,F,35,2,lower,TRUE,Nicole Salazar-Bautista,market_vendor,Salazar-Bautista,resC,market,158600.63,539.73,51.42,Protect stall income and customers | Monitor service quality in resC | Share verified updates through coworkers for Salazar-Bautista household,0.458,0.373,0.366,0.545,0.335,0.362,0.232
51,F,37,5,middle,TRUE,Nena Santiago,civil_servant_admin,Santiago,resB,municipal_hall,204679.75,1121.48,50.27,Keep public records accurate | Monitor transport rumors in resB | Share verified updates through family chats for Torres household,0.322,0.514,0.422,0.923,0.749,0.358,0.474
52,F,16,2,middle,TRUE,Corazon Cruz-Ilagan,student,Cruz-Ilagan,resB,school,214637.83,0.00,59.50,Finish school requirements | Monitor service quality in resB | Share verified updates through school contacts for Cruz-Ilagan household,0.409,0.420,0.292,0.887,0.461,0.580,0.029
53,M,47,2,lower,TRUE,Martin Morales,factory_plant_worker,Morales,resC,factory,69772.89,561.51,36.44,Maintain shift attendance | Monitor service quality in resC | Share verified updates through family chats for Morales household,0.432,0.338,0.334,0.432,0.476,0.612,0.288
54,F,37,4,upper,TRUE,Mikaela DeLeon,nurse,DeLeon,resA,health_center,446557.25,2108.41,71.28,Provide care at the health center | Monitor illness rumors from resA | Help the DeLeon household share accurate health updates through Mikaela,0.825,0.239,0.585,0.592,0.756,0.778,0.685
55,M,37,3,lower,TRUE,Isidro Valdez,market_vendor,Valdez,resC,market,146110.55,701.51,58.84,Protect stall income and customers | Monitor health-center queues in resC | Share verified updates at the market for Valdez household,0.629,0.324,0.507,0.441,0.778,0.255,0.494
56,F,16,2,lower,TRUE,Louise Navarro,student,Navarro,resC,school,146677.60,0.00,33.48,Finish school requirements | Monitor road repairs in resC | Share verified updates through school contacts for Navarro household,0.521,0.301,0.634,0.555,0.292,0.411,0.225
57,M,19,3,lower,TRUE,Luis Zamora,student,Zamora,resC,school,84272.96,0.00,61.54,Finish school requirements | Monitor road repairs in resC | Share verified updates at the market for Zamora household,0.502,0.085,0.331,0.494,0.820,0.383,0.341
58,F,18,2,lower,TRUE,Annaliza Salazar-Javier,student,Salazar-Javier,resC,school,114329.38,0.00,22.51,Finish school requirements | Monitor safety reports in resC | Share verified updates at the market for Salazar-Javier household,0.640,0.272,0.178,0.418,0.541,0.412,0.369
59,M,20,3,lower,TRUE,Mark Salazar-Canete,student,Salazar-Canete,resC,school,105191.68,0.00,41.18,Finish school requirements | Monitor health-center queues in resC | Share verified updates at community meetings for Salazar-Canete household,0.567,0.122,0.448,0.535,0.657,0.233,0.109
60,F,49,5,lower,TRUE,Hannah Macapagal,skilled_tradesperson,Macapagal,resC,field_service,173306.95,1254.17,45.21,Maintain client referrals | Monitor health-center queues in resC | Share verified updates at the market for Macapagal household,0.454,0.461,0.516,0.491,0.861,0.423,0.284
61,M,43,5,middle,TRUE,Gregorio Salazar,teacher,Salazar,resB,school,333569.87,1295.58,48.01,Support student learning | Monitor transport rumors in resB | Share verified updates through school contacts for Salazar-Lopez household,0.541,0.330,0.489,0.893,0.897,0.886,0.634
62,F,56,3,lower,TRUE,Isabel Salazar-Dimaculangan,factory_plant_worker,Salazar-Dimaculangan,resC,factory,197628.46,704.70,57.72,Maintain shift attendance | Monitor school attendance in resC | Share verified updates at community meetings for Salazar-Dimaculangan household,0.459,0.233,0.356,0.511,0.616,0.714,0.369
63,M,28,4,lower,TRUE,Rolando Salazar-Co,construction_worker,Salazar-Co,resC,construction_site,94908.43,718.20,36.42,Keep steady construction work | Monitor construction complaints in resC | Share verified updates through family chats for Salazar-Co household,0.318,0.368,0.152,0.661,0.593,0.223,0.089
64,F,42,5,middle,TRUE,Maria Salazar,teacher,Salazar,resB,school,333495.62,2029.77,44.90,Support student learning | Monitor market prices in resB | Share verified updates at community meetings for Magno household,0.595,0.419,0.612,0.939,0.826,0.669,0.575
65,F,45,3,lower,TRUE,Imelda Cruz-Baltazar,site_supervisor,Cruz-Baltazar,resC,construction_site,121086.20,2123.18,43.68,Keep work crews coordinated | Monitor medicine availability in resC | Share verified updates through coworkers for Cruz-Baltazar household,0.679,0.447,0.390,0.461,0.668,0.323,0.246
66,F,17,2,middle,TRUE,Isabel Galang,student,Galang,resB,school,323371.89,0.00,46.59,Finish school requirements | Monitor permit delays in resB | Share verified updates through family chats for Galang household,0.548,0.226,0.446,0.538,0.584,0.481,0.279
67,F,58,2,lower,TRUE,Michelle Zamora,factory_plant_worker,Zamora,resC,factory,99715.28,524.57,53.17,Maintain shift attendance | Monitor construction complaints in resC | Share verified updates during barangay visits for Zamora household,0.583,0.362,0.570,0.511,0.547,0.212,0.000
68,M,23,2,middle,TRUE,Diosdado Cruz-Perez,clerk_office_worker,Cruz-Perez,resB,office,361660.96,1120.44,39.01,Keep office relationships stable | Monitor medicine availability in resB | Share verified updates through family chats for Cruz-Perez household,0.419,0.352,0.540,0.554,0.569,0.569,0.173
69,F,36,2,lower,TRUE,Mariel Panganiban,factory_plant_worker,Panganiban,resC,factory,153939.40,949.03,51.05,Maintain shift attendance | Monitor service quality in resC | Share verified updates through family chats for Panganiban household,0.501,0.136,0.370,0.558,0.394,0.437,0.254
70,M,30,5,upper,TRUE,Teodoro Salazar,doctor,Salazar,resA,clinic,1060957.38,9450.83,66.95,Keep patient care reliable | Monitor transport rumors in resA | Share verified updates through coworkers for Go household,0.543,0.492,0.463,0.808,0.980,0.615,0.571
71,M,21,4,middle,TRUE,Daniel Paredes,student,Paredes,resB,school,219972.36,0.00,44.83,Finish school requirements | Monitor budget gossip in resB | Share verified updates through coworkers for Paredes household,0.626,0.425,0.469,0.797,0.639,0.553,0.354
72,M,15,2,middle,TRUE,Renato Salcedo,student,Salcedo,resB,school,152197.32,0.00,49.84,Finish school requirements | Monitor school attendance in resB | Share verified updates at community meetings for Salcedo household,0.491,0.282,0.339,0.409,0.306,0.578,0.155
73,M,43,5,middle,TRUE,Mark Cruz,civil_servant_admin,Cruz,resA,municipal_hall,704232.66,1538.65,55.83,Keep public records accurate | Monitor road repairs in resA | Share verified updates during commute routes for Aguilar household,0.540,0.217,0.419,0.913,0.913,0.426,0.567
74,F,37,4,middle,TRUE,Gloria Salazar-Valdez,teacher,Salazar-Valdez,resB,school,285153.40,2217.21,35.59,Support student learning | Monitor medicine availability in resB | Share verified updates at the market for Salazar-Valdez household,0.796,0.306,0.510,0.719,0.773,0.578,0.484
75,M,16,2,middle,TRUE,Renato Regalado,student,Regalado,resB,school,305623.48,0.00,38.67,Finish school requirements | Monitor election promises in resB | Share verified updates at community meetings for Regalado household,0.650,0.149,0.378,0.485,0.471,0.479,0.550
76,F,32,5,middle,TRUE,Camille Cruz,teacher,Cruz,resB,school,275907.06,2071.19,56.13,Support student learning | Monitor budget gossip in resB | Share verified updates at the market for Cruz-Quinto household,0.385,0.190,0.430,0.910,0.875,0.573,0.540
77,F,17,2,lower,TRUE,Teresita Salazar-Castro,student,Salazar-Castro,resC,school,158117.97,0.00,55.78,Finish school requirements | Monitor road repairs in resC | Share verified updates with neighbors for Salazar-Castro household,0.548,0.271,0.427,0.762,0.602,0.248,0.318
78,M,53,3,middle,TRUE,Hernando Cruz-Valdez,clerk_office_worker,Cruz-Valdez,resB,office,344332.17,1658.48,67.06,Keep office relationships stable | Monitor health-center queues in resB | Share verified updates at the market for Cruz-Valdez household,0.310,0.425,0.624,0.465,0.740,0.464,0.127
79,F,49,1,lower,TRUE,Natividad Soriano,factory_plant_worker,Soriano,resC,factory,32877.62,771.91,36.04,Maintain shift attendance | Monitor budget gossip in resC | Share verified updates during commute routes for Soriano household,0.294,0.271,0.420,0.605,0.247,0.436,0.113
80,F,19,4,middle,TRUE,Nina Salazar-Enriquez,clerk_office_worker,Salazar-Enriquez,resB,office,381058.76,1243.52,49.99,Keep office relationships stable | Monitor job leads in resB | Share verified updates through coworkers for Salazar-Enriquez household,0.448,0.465,0.455,0.607,0.680,0.746,0.183
81,M,50,1,middle,TRUE,Benjamin Cruz-Reyes,market_vendor,Cruz-Reyes,resB,market,364983.89,1161.30,77.35,Protect stall income and customers | Monitor permit delays in resB | Share verified updates during barangay visits for Cruz-Reyes household,0.463,0.357,0.488,0.346,0.451,0.352,0.184
82,M,29,5,lower,TRUE,Carlos Cruz-Velasco,skilled_tradesperson,Cruz-Velasco,resC,field_service,213324.91,1134.66,38.16,Maintain client referrals | Monitor medicine availability in resC | Share verified updates during barangay visits for Cruz-Velasco household,0.356,0.265,0.481,0.276,0.727,0.213,0.254
83,M,32,5,middle,TRUE,Vicente Cruz-Aquino,clerk_office_worker,Cruz-Aquino,resB,office,259131.26,838.02,34.12,Keep office relationships stable | Monitor medicine availability in resB | Share verified updates during commute routes for Cruz-Aquino household,0.590,0.237,0.500,0.617,0.880,0.332,0.359
84,F,52,4,lower,TRUE,Sofia Salazar-Laurel,skilled_tradesperson,Salazar-Laurel,resC,field_service,136302.91,1383.15,48.78,Maintain client referrals | Monitor health-center queues in resC | Share verified updates with neighbors for Salazar-Laurel household,0.418,0.400,0.417,0.608,0.909,0.504,0.537
85,M,42,4,middle,TRUE,Teodoro Cruz-Go,market_vendor,Cruz-Go,resB,market,377879.32,816.97,37.50,Protect stall income and customers | Monitor job leads in resB | Share verified updates through coworkers for Cruz-Go household,0.331,0.443,0.513,0.824,0.664,0.309,0.359
86,M,33,4,lower,TRUE,Oscar Carpio,skilled_tradesperson,Carpio,resC,field_service,51784.13,1525.34,62.23,Maintain client referrals | Monitor safety reports in resC | Share verified updates through school contacts for Carpio household,0.596,0.441,0.296,0.621,0.855,0.378,0.208
87,F,38,5,middle,TRUE,Hazel Cruz,teacher,Cruz,resB,school,420948.48,1316.18,56.74,Support student learning | Monitor construction complaints in resB | Share verified updates through coworkers for Cruz-Natividad household,0.550,0.318,0.215,0.857,0.903,0.649,0.481
88,M,47,1,lower,TRUE,Hernando Cruz-Quinto,construction_worker,Cruz-Quinto,resC,construction_site,135353.43,823.27,45.19,Keep steady construction work | Monitor transport rumors in resC | Share verified updates through family chats for Cruz-Quinto household,0.645,0.267,0.522,0.412,0.363,0.020,0.000
89,M,20,3,middle,TRUE,Crisanto Cruz-Galang,student,Cruz-Galang,resB,school,345551.81,0.00,33.19,Finish school requirements | Monitor election promises in resB | Share verified updates during commute routes for Cruz-Galang household,0.421,0.301,0.558,0.687,0.581,0.653,0.210
90,M,21,4,lower,TRUE,Daniel Salazar-DelRosario,student,Salazar-DelRosario,resC,school,87448.29,0.00,63.56,Finish school requirements | Monitor health-center queues in resC | Share verified updates through family chats for Salazar-DelRosario household,0.600,0.257,0.399,0.766,0.459,0.361,0.267
91,F,43,4,lower,TRUE,Erika Luna,nurse,Luna,resC,health_center,98938.44,1189.46,52.62,Provide care at the health center | Monitor illness rumors from resC | Help the Luna household share accurate health updates through Erika,0.871,0.164,0.420,0.707,0.873,0.791,0.793
92,M,66,4,upper,TRUE,Dante Salazar-Cojuangco,elder_retiree,Salazar-Cojuangco,resA,residential_area,615938.34,2682.85,60.41,Protect household routines | Monitor market prices in resA | Share verified updates at community meetings for Salazar-Cojuangco household,0.305,0.268,0.529,0.577,0.716,0.285,0.236
93,M,15,2,middle,TRUE,Manny Cruz-Calderon,student,Cruz-Calderon,resB,school,330642.62,0.00,28.68,Finish school requirements | Monitor service quality in resB | Share verified updates through school contacts for Cruz-Calderon household,0.430,0.542,0.383,0.694,0.382,0.578,0.132
94,F,20,3,lower,TRUE,Giselle Corpuz,student,Corpuz,resC,school,47092.96,0.00,35.54,Finish school requirements | Monitor election promises in resC | Share verified updates through coworkers for Corpuz household,0.683,0.384,0.330,0.665,0.447,0.287,0.335
95,M,30,5,middle,TRUE,Luis David,civil_servant_admin,David,resB,municipal_hall,279498.76,1079.71,66.17,Keep public records accurate | Monitor health-center queues in resB | Share verified updates through family chats for Salazar-Tan household,0.444,0.265,0.458,0.909,0.666,0.623,0.612
96,F,72,2,lower,TRUE,Giselle Salazar-Baltazar,sari_sari_store_owner,Salazar-Baltazar,resC,neighborhood_store,123496.93,954.91,49.67,Keep neighborhood store stocked | Monitor election promises in resC | Share verified updates with neighbors for Salazar-Baltazar household,0.291,0.332,0.565,0.488,0.390,0.375,0.000
97,F,50,4,middle,TRUE,Camille Salazar-Angeles,market_vendor,Salazar-Angeles,resB,market,241295.04,1066.61,52.56,Protect stall income and customers | Monitor family welfare in resB | Share verified updates through family chats for Salazar-Angeles household,0.403,0.414,0.401,0.737,0.660,0.719,0.347
98,F,19,3,middle,TRUE,Lita Tan,home_caregiver,Tan,resB,residential_homes,119054.11,947.75,65.57,Support household care duties | Monitor budget gossip in resB | Share verified updates during barangay visits for Tan household,0.731,0.182,0.501,0.507,0.693,0.679,0.595
99,M,36,2,lower,TRUE,Crisanto Cruz-Domingo,home_caregiver,Cruz-Domingo,resC,residential_homes,15448.56,691.96,25.26,Support household care duties | Monitor job leads in resC | Share verified updates during commute routes for Cruz-Domingo household,0.779,0.222,0.319,0.415,0.583,0.654,0.390
100,F,17,2,middle,TRUE,Angelica Carpio,student,Carpio,resB,school,302546.32,0.00,49.71,Finish school requirements | Monitor construction complaints in resB | Share verified updates through school contacts for Carpio household,0.394,0.081,0.431,0.701,0.376,0.538,0.080
101,M,27,3,lower,TRUE,Ramon Flores,construction_worker,Flores,resC,construction_site,149901.55,511.96,29.66,Keep steady construction work | Monitor transport rumors in resC | Share verified updates through family chats for Flores household,0.572,0.598,0.592,0.587,0.706,0.443,0.342
102,F,41,5,middle,TRUE,Camille David,lawyer,David,resA,court_office,902893.46,6936.95,56.25,Protect due process and clients | Monitor medicine availability in resA | Share verified updates at community meetings for Cruz-Chua household,0.706,0.309,0.677,0.932,0.976,0.594,0.582
103,F,16,2,middle,TRUE,Ofelia Salazar-Rodriguez,student,Salazar-Rodriguez,resB,school,341707.35,0.00,60.75,Finish school requirements | Monitor permit delays in resB | Share verified updates at community meetings for Salazar-Rodriguez household,0.517,0.364,0.376,0.641,0.624,0.620,0.284
104,M,19,3,lower,TRUE,Albert Salazar-Espiritu,student,Salazar-Espiritu,resC,school,136893.93,0.00,45.89,Finish school requirements | Monitor permit delays in resC | Share verified updates through coworkers for Salazar-Espiritu household,0.701,0.314,0.550,0.334,0.532,0.539,0.308
