agent_id,sex,age,education_level,social_class,is_alive,name,role,family_id,home_zone,work_zone,wealth,income_per_day,satisfaction,goals,integrity,greed,ambition,family_loyalty,competence,empathy,initial_trust_score
1,M,36,4,upper,TRUE,Alfredo Ocampo,mayor,,resA,munhall,889459,2608.78,41.04,Win re-election | Build road to farm area | Increase family wealth | Fund school renovation,0.478,0.474,0.733,0.605,0.631,0.275,-0.034
2,M,52,5,upper,TRUE,Juan Navarro,vice_mayor,Aquino,resA,munhall,629373.01,2248.69,43.58,Audit infrastructure contracts | Run for mayor | Build political base,0.637,0.697,0.506,0.484,0.68,0.282,0.845
22,M,32,2,lower,TRUE,Zaldy Co,vendor,,resC,market,28516.28,454.99,43.78,Increase household income | Protect family welfare | Improve social standing,0.539,0.366,0.745,0.386,0.68,0.344,0.162
23,F,52,3,lower,TRUE,Rosa Ramos,vendor,,resC,market,43748.12,232.08,49.77,Increase household income | Protect family welfare | Improve social standing,0.459,0.751,0.505,0.533,0.547,0.675,0.092
24,F,54,2,lower,TRUE,Ligaya Santos,vendor,,resC,market,22048.58,436.94,55.27,Increase household income | Protect family welfare | Improve social standing,0.634,0.419,0.124,0.291,0.696,0.598,0.195
25,F,38,4,lower,TRUE,Teresita Lim,vendor,,resC,market,26358.34,299.85,42.45,Increase household income | Protect family welfare | Improve social standing,0.548,0.492,0.667,0.416,0.453,0.308,0.099
26,F,43,4,lower,TRUE,Maria Lim,vendor,,resC,market,26020.88,299.59,66.18,Increase household income | Protect family welfare | Improve social standing,0.328,0.49,0.393,0.706,0.408,0.517,-0.048
27,F,23,3,lower,TRUE,Annaliza Mabini,vendor,,resC,market,32047.86,416.17,71.54,Increase household income | Protect family welfare | Improve social standing,0.513,0.655,0.308,0.395,0.342,0.585,0.139
28,M,22,3,lower,TRUE,Willy Rizal,vendor,,resC,market,30559.02,362.67,48.57,Increase household income | Protect family welfare | Improve social standing,0.459,0.399,0.604,0.273,0.45,0.455,0.043
29,F,62,4,lower,TRUE,Zenaida Garcia,vendor,,resC,market,42400.53,275.64,70.99,Increase household income | Protect family welfare | Improve social standing,0.338,0.391,0.387,0.601,0.637,0.733,0.134
30,M,50,3,lower,TRUE,Bernardo Valdez,vendor,,resC,market,23483.83,331.03,66.43,Increase household income | Protect family welfare | Improve social standing,0.237,0.382,0.558,0.555,0.32,0.591,0.033
31,F,36,2,lower,TRUE,Milagros Sy,vendor,,resC,market,30963.26,277.53,61.94,Increase household income | Protect family welfare | Improve social standing,0.748,0.351,0.385,0.518,0.504,0.764,-0.018
32,F,44,3,lower,TRUE,Rosa Macaraeg,vendor,,resC,market,37528.78,374.11,58.99,Increase household income | Protect family welfare | Improve social standing,0.471,0.669,0.57,0.583,0.419,0.33,0.025
33,F,32,3,lower,TRUE,Ximena Salazar,vendor,,resC,market,18408.08,398.49,59.11,Increase household income | Protect family welfare | Improve social standing,0.538,0.511,0.35,0.701,0.725,0.254,0.081
34,F,19,2,lower,TRUE,Ximena Gonzales,vendor,,resC,market,37762.06,410.17,40.94,Increase household income | Protect family welfare | Improve social standing,0.684,0.525,0.434,0.362,0.586,0.695,0.018
35,M,48,2,lower,TRUE,Alfredo Garcia,vendor,,resC,market,34699.54,316.75,73.29,Increase household income | Protect family welfare | Improve social standing,0.614,0.429,0.491,0.633,0.369,0.588,0.026
36,F,60,2,lower,TRUE,Felicitas Mendoza,vendor,,resC,market,35069.66,337.54,40.71,Increase household income | Protect family welfare | Improve social standing,0.689,0.5,0.346,0.288,0.355,0.345,-0.054
37,M,54,4,lower,TRUE,Ulysses Pascual,vendor,,resC,market,30831.25,314.66,50.89,Increase household income | Protect family welfare | Improve social standing,0.437,0.525,0.361,0.65,0.733,0.496,0.074
38,F,20,3,lower,TRUE,Daisy Guevarra,vendor,,resC,market,26131.51,436.36,68.19,Increase household income | Protect family welfare | Improve social standing,0.643,0.464,0.263,0.345,0.51,0.782,0.139
39,F,29,4,lower,TRUE,Cristina Luna,vendor,,resC,market,23065.22,373.08,71.21,Increase household income | Protect family welfare | Improve social standing,0.52,0.452,0.486,0.481,0.347,0.634,0.038
40,M,33,3,lower,TRUE,Crisanto Bonifacio,vendor,,resC,market,28197.45,466.44,69.08,Increase household income | Protect family welfare | Improve social standing,0.516,0.77,0.333,0.459,0.277,0.646,-0.074
41,F,51,2,lower,TRUE,Cely Aguilar,vendor,,resC,market,29660.1,398.53,60.87,Increase household income | Protect family welfare | Improve social standing,0.483,0.382,0.367,0.505,0.36,0.561,0.164
42,F,55,3,lower,TRUE,Maribel Ferrer,vendor,,resC,market,30942.28,324.44,47.76,Increase household income | Protect family welfare | Improve social standing,0.518,0.329,0.512,0.271,0.394,0.412,0.108
43,F,62,2,lower,TRUE,Gloria Mendoza,vendor,,resC,market,29964.22,380.43,46.74,Increase household income | Protect family welfare | Improve social standing,0.395,0.47,0.497,0.366,0.465,0.436,-0.064
44,M,26,3,lower,TRUE,Juan Garcia,vendor,,resC,market,33327.22,306.33,52.63,Increase household income | Protect family welfare | Improve social standing,0.541,0.38,0.286,0.365,0.155,0.309,-0.009
45,F,48,2,lower,TRUE,Lita Pascual,vendor,,resC,market,21951.16,319.69,55.42,Increase household income | Protect family welfare | Improve social standing,0.331,0.424,0.712,0.715,0.196,0.567,-0.045
46,F,57,2,lower,TRUE,Cristina Manalo,vendor,,resC,market,35197.76,373.11,59.53,Increase household income | Protect family welfare | Improve social standing,0.353,0.51,0.467,0.421,0.637,0.211,0.025
47,F,60,2,lower,TRUE,Esperanza Aguilar,vendor,,resC,market,19861.65,287.39,73.17,Increase household income | Protect family welfare | Improve social standing,0.396,0.55,0.791,0.149,0.429,0.746,-0.038
48,M,34,4,lower,TRUE,Diosdado Mabini,vendor,,resC,market,31455.57,443.37,64.6,Increase household income | Protect family welfare | Improve social standing,0.577,0.553,0.664,0.503,0.397,0.481,0.036
49,M,36,3,lower,TRUE,Rodel Navarro,vendor,,resC,market,31757.74,366.4,67.74,Increase household income | Protect family welfare | Improve social standing,0.583,0.406,0.58,0.571,0.57,0.645,0.079
50,F,61,4,lower,TRUE,Rosa Jacinto,vendor,,resC,market,38243.78,365.82,51.28,Increase household income | Protect family welfare | Improve social standing,0.463,0.284,0.665,0.438,0.439,0.552,-0.025
51,M,48,3,lower,TRUE,Willy Sy,vendor,,resC,market,25208.42,551.01,55.26,Increase household income | Protect family welfare | Improve social standing,0.635,0.323,0.508,0.407,0.339,0.531,0.144
52,F,25,3,lower,TRUE,Annaliza Reyes,vendor,,resC,market,19035.14,409.39,41.28,Increase household income | Protect family welfare | Improve social standing,0.52,0.564,0.582,0.631,0.279,0.556,-0.074
53,M,46,4,lower,TRUE,Efren Ramos,vendor,,resC,market,20467.75,278.14,47.12,Increase household income | Protect family welfare | Improve social standing,0.447,0.343,0.417,0.55,0.337,0.742,0.065
54,M,59,2,lower,TRUE,Efren Dizon,vendor,,resC,market,25219.9,373.39,69.45,Increase household income | Protect family welfare | Improve social standing,0.758,0.538,0.572,0.275,0.491,0.573,-0.066
55,M,35,3,lower,TRUE,Ricardo Domingo,vendor,,resC,market,16556.46,440.5,57.79,Increase household income | Protect family welfare | Improve social standing,0.43,0.493,0.713,0.138,0.507,0.74,0.164
56,M,42,3,lower,TRUE,Quirino Aquino,vendor,,resC,market,35765.31,301.12,56.95,Increase household income | Protect family welfare | Improve social standing,0.549,0.511,0.457,0.217,0.307,0.444,0
57,M,59,2,lower,TRUE,Efren Santos,vendor,,resC,market,12557.3,372.43,53.34,Increase household income | Protect family welfare | Improve social standing,0.66,0.487,0.281,0.698,0.389,0.62,0.197
58,M,22,3,lower,TRUE,Manny Sy,vendor,,resC,market,31190.08,344.37,45.05,Increase household income | Protect family welfare | Improve social standing,0.823,0.777,0.466,0.56,0.539,0.493,0.161
59,F,57,2,lower,TRUE,Josefa Rizal,vendor,,resC,market,40769.09,326.06,71.06,Increase household income | Protect family welfare | Improve social standing,0.442,0.394,0.617,0.565,0.415,0.385,0.046
60,F,38,2,lower,TRUE,Natividad Co,vendor,,resC,market,28948.09,323.53,45.82,Increase household income | Protect family welfare | Improve social standing,0.501,0.387,0.509,0.565,0.751,0.516,-0.01
61,M,27,2,lower,TRUE,Zaldy Rizal,vendor,,resC,market,44233.9,407.79,61.69,Increase household income | Protect family welfare | Improve social standing,0.491,0.56,0.31,0.462,0.524,0.462,-0.028
62,M,45,4,lower,TRUE,Manny Navarro,vendor,,resC,market,34720.79,404.25,52.09,Increase household income | Protect family welfare | Improve social standing,0.547,0.615,0.771,0.516,0.684,0.419,0.076
63,M,35,2,lower,TRUE,Crisanto Jacinto,vendor,,resC,market,7629.47,264.76,50.33,Increase household income | Protect family welfare | Improve social standing,0.606,0.417,0.371,0.614,0.516,0.745,0.193
64,F,34,4,lower,TRUE,Corazon Rizal,vendor,,resC,market,30931.68,307.17,68.07,Increase household income | Protect family welfare | Improve social standing,0.622,0.102,0.71,0.368,0.661,0.269,-0.034
65,F,52,3,lower,TRUE,Cristina Domingo,vendor,,resC,market,41893.78,446.7,51.44,Increase household income | Protect family welfare | Improve social standing,0.723,0.621,0.756,0.565,0.64,0.58,0.025
66,F,32,4,lower,TRUE,Violeta Ferrer,vendor,,resC,market,29842.72,295.44,44.03,Increase household income | Protect family welfare | Improve social standing,0.792,0.354,0.488,0.78,0.23,0.581,0.189
67,F,32,3,lower,TRUE,Rosa Bonifacio,vendor,,resC,market,25028.86,279.75,68.78,Increase household income | Protect family welfare | Improve social standing,0.374,0.698,0.685,0.516,0.285,0.613,0.182
68,M,37,3,lower,TRUE,Rodel Bautista,vendor,,resC,market,35715.93,322.56,54.29,Increase household income | Protect family welfare | Improve social standing,0.694,0.372,0.591,0.446,0.758,0.658,-0.058
69,M,49,4,lower,TRUE,Willy Soriano,vendor,,resC,market,19693.51,330.05,65.43,Increase household income | Protect family welfare | Improve social standing,0.568,0.685,0.389,0.593,0.72,0.478,0.166
70,F,30,2,lower,TRUE,Zenaida Dela Cruz,vendor,,resC,market,26055.13,280.82,74.22,Increase household income | Protect family welfare | Improve social standing,0.691,0.529,0.155,0.628,0.542,0.496,0.008
71,F,31,2,lower,TRUE,Remedios Flores,vendor,,resC,market,37252.2,405.03,42.4,Increase household income | Protect family welfare | Improve social standing,0.438,0.317,0.474,0.482,0.526,0.441,0.13
72,F,33,4,lower,TRUE,Pacita Cruz,vendor,,resC,market,31158.71,322.38,70.33,Increase household income | Protect family welfare | Improve social standing,0.599,0.304,0.426,0.925,0.686,0.535,-0.06
73,M,20,4,lower,TRUE,Renato Lim,vendor,,resC,market,31681.21,279.11,43.82,Increase household income | Protect family welfare | Improve social standing,0.573,0.544,0.49,0.317,0.495,0.379,0.051
74,M,22,2,lower,TRUE,Noel Bonifacio,vendor,,resC,market,12488.77,358.04,42.57,Increase household income | Protect family welfare | Improve social standing,0.177,0.601,0.659,0.564,0.314,0.682,-0.076
75,M,53,4,lower,TRUE,Isidro Guevarra,vendor,,resC,market,27116.89,333.13,64.56,Increase household income | Protect family welfare | Improve social standing,0.423,0.36,0.279,0.932,0.338,0.519,0.156
76,M,22,2,lower,TRUE,Berto Dela Cruz,vendor,,resC,market,19397.63,389.41,53.1,Increase household income | Protect family welfare | Improve social standing,0.447,0.532,0.413,0.64,0.442,0.584,-0.054
77,M,45,4,lower,TRUE,Carlos Dizon,vendor,,resC,market,18970.79,316.23,54.38,Increase household income | Protect family welfare | Improve social standing,0.325,0.603,0.445,0.557,0.849,0.688,0.162
78,F,45,4,lower,TRUE,Elvira Cruz,vendor,,resC,market,42019.98,422.89,52.86,Increase household income | Protect family welfare | Improve social standing,0.437,0.418,0.408,0.451,0.441,0.461,0.129
79,M,22,2,lower,TRUE,Jose Dela Cruz,vendor,,resC,market,36553.35,323.59,46.35,Increase household income | Protect family welfare | Improve social standing,0.38,0.361,0.487,0.466,0.463,0.802,-0.057
80,F,57,2,lower,TRUE,Cely Soriano,vendor,,resC,market,31738.44,273.41,42.97,Increase household income | Protect family welfare | Improve social standing,0.547,0.396,0.38,0.566,0.336,0.725,-0.084
81,F,37,2,lower,TRUE,Imelda Pascual,vendor,,resC,market,27816.36,374.04,63.74,Increase household income | Protect family welfare | Improve social standing,0.402,0.555,0.379,0.403,0.539,0.726,0.078
82,F,52,4,lower,TRUE,Imelda Domingo,vendor,,resC,market,29007.71,379.41,57.41,Increase household income | Protect family welfare | Improve social standing,0.6,0.495,0.602,0.847,0.528,0.297,0.029
83,F,58,3,lower,TRUE,Natividad Ramos,vendor,,resC,market,26881.29,356.04,50.96,Increase household income | Protect family welfare | Improve social standing,0.342,0.42,0.408,0.62,0.492,0.39,0.029
84,F,23,3,lower,TRUE,Ofelia Sy,vendor,,resC,market,24459.93,399.05,43.71,Increase household income | Protect family welfare | Improve social standing,0.227,0.719,0.672,0.821,0.278,0.607,0.031
85,F,24,2,lower,TRUE,Ligaya Aquino,vendor,,resC,market,31220.58,294.95,73.54,Increase household income | Protect family welfare | Improve social standing,0.596,0.757,0.688,0.598,0.403,0.531,0.094
86,M,59,4,lower,TRUE,Quirino Rizal,vendor,,resC,market,19958.95,367.35,60.28,Increase household income | Protect family welfare | Improve social standing,0.59,0.577,0.503,0.441,0.701,0.486,0.104
87,F,36,2,lower,TRUE,Cely Bonifacio,vendor,,resC,market,28122.78,368.89,56.16,Increase household income | Protect family welfare | Improve social standing,0.485,0.648,0.292,0.541,0.558,0.358,-0.089
88,F,21,3,lower,TRUE,Fely Sy,vendor,,resC,market,38762.23,307.74,46.59,Increase household income | Protect family welfare | Improve social standing,0.427,0.418,0.174,0.32,0.497,0.507,0.082
89,F,39,4,lower,TRUE,Nena Rizal,vendor,,resC,market,19149.74,337.6,52.74,Increase household income | Protect family welfare | Improve social standing,0.613,0.493,0.474,0.466,0.379,0.106,0.175
90,F,27,3,lower,TRUE,Ofelia Luna,vendor,,resC,market,20355.94,241.29,70.56,Increase household income | Protect family welfare | Improve social standing,0.517,0.456,0.687,0.626,0.449,0.785,0
91,M,61,4,lower,TRUE,Berto Luna,vendor,,resC,market,33792.29,243.84,63.45,Increase household income | Protect family welfare | Improve social standing,0.502,0.358,0.207,0.301,0.447,0.686,0.149
92,F,24,4,lower,TRUE,Daisy Padilla,vendor,,resC,market,30529.38,311.02,75,Increase household income | Protect family welfare | Improve social standing,0.464,0.343,0.628,0.515,0.631,0.509,-0.054
93,F,44,3,lower,TRUE,Josefa Valdez,vendor,,resC,market,36719.81,260.13,68.32,Increase household income | Protect family welfare | Improve social standing,0.682,0.532,0.508,0.421,0.436,0.612,-0.05
94,F,46,3,lower,TRUE,Natividad Manalo,vendor,,resC,market,33710.95,223.13,46.79,Increase household income | Protect family welfare | Improve social standing,0.357,0.34,0.523,0.393,0.526,0.938,0.103
95,M,51,2,lower,TRUE,Oscar Dela Cruz,vendor,,resC,market,38669.12,372.11,52.99,Increase household income | Protect family welfare | Improve social standing,0.394,0.497,0.553,0.585,0.259,0.364,0.18
96,F,50,3,lower,TRUE,Josefa Manalo,vendor,,resC,market,31531.62,414.71,52.24,Increase household income | Protect family welfare | Improve social standing,0.56,0.381,0.57,0.453,0.165,0.689,-0.092
97,M,26,4,lower,TRUE,Rolando Valdez,vendor,,resC,market,31119.08,318.45,50.04,Increase household income | Protect family welfare | Improve social standing,0.695,0.495,0.841,0.561,0.616,0.366,0.149
98,F,33,3,lower,TRUE,Zenaida Lopez,vendor,,resC,market,23495.46,310.22,67.17,Increase household income | Protect family welfare | Improve social standing,0.306,0.284,0.604,0.512,0.71,0.837,-0.029
99,F,60,4,lower,TRUE,Cely Padilla,vendor,,resC,market,35252.41,399.86,61.52,Increase household income | Protect family welfare | Improve social standing,0.8,0.709,0.478,0.484,0.389,0.539,-0.028
100,F,19,3,lower,TRUE,Lita Co,vendor,,resC,market,23036.32,392.96,62.25,Increase household income | Protect family welfare | Improve social standing,0.605,0.491,0.324,0.471,0.69,0.536,0.194
101,M,62,3,lower,TRUE,Gregorio Gonzales,vendor,,resC,market,25640.16,393.67,62.5,Increase household income | Protect family welfare | Improve social standing,0.562,0.719,0.658,0.62,0.503,0.47,0.149
102,F,34,2,lower,TRUE,Gloria Dizon,vendor,,resC,market,47978.23,386.35,58.04,Increase household income | Protect family welfare | Improve social standing,0.789,0.6,0.379,0.533,0.596,0.577,0.197
103,M,49,4,lower,TRUE,Efren Ong,vendor,,resC,market,40138.46,286.68,71.31,Increase household income | Protect family welfare | Improve social standing,0.387,0.705,0.59,0.399,0.602,0.651,0.016
104,M,37,3,lower,TRUE,Ernesto Guevarra,vendor,,resC,market,34410.76,282.3,51.24,Increase household income | Protect family welfare | Improve social standing,0.711,0.417,0.576,0.271,0.679,0.647,-0.076
105,M,43,3,lower,TRUE,Joselito Jacinto,vendor,,resC,market,19514.25,384.07,67.7,Increase household income | Protect family welfare | Improve social standing,0.631,0.641,0.272,0.579,0.676,0.441,-0.083
106,F,27,4,lower,TRUE,Yolanda Ong,vendor,,resC,market,31012.04,436.04,52.68,Increase household income | Protect family welfare | Improve social standing,0.57,0.532,0.631,0.316,0.428,0.58,0.185
107,F,53,2,lower,TRUE,Ligaya Hernandez,vendor,,resC,market,30009.58,379.44,65.75,Increase household income | Protect family welfare | Improve social standing,0.373,0.683,0.335,0.417,0.326,0.68,0.05
108,M,61,3,lower,TRUE,Salvador Lopez,vendor,,resC,market,32064.5,367.73,46.04,Increase household income | Protect family welfare | Improve social standing,0.52,0.4,0.324,0.351,0.6,0.549,0.114
109,M,33,3,lower,TRUE,Jose Ong,vendor,,resC,market,33478.77,400.49,47.85,Increase household income | Protect family welfare | Improve social standing,0.432,0.462,0.473,0.584,0.441,0.325,0.196
110,M,54,2,lower,TRUE,Dante Tan,vendor,,resC,market,18490.59,570.89,65.16,Increase household income | Protect family welfare | Improve social standing,0.414,0.452,0.563,0.321,0.451,0.509,0.058
111,M,21,2,lower,TRUE,Renato Flores,vendor,,resC,market,26762.98,320.73,73.82,Increase household income | Protect family welfare | Improve social standing,0.447,0.372,0.441,0.375,0.688,0.369,0.03
112,F,58,3,lower,TRUE,Daisy Dela Cruz,vendor,,resC,market,29311.59,373.76,46.87,Increase household income | Protect family welfare | Improve social standing,0.52,0.584,0.598,0.457,0.672,0.491,0.187
113,F,20,4,lower,TRUE,Felicitas Hernandez,vendor,,resC,market,17853.95,279.21,59.73,Increase household income | Protect family welfare | Improve social standing,0.459,0.499,0.581,0.469,0.37,0.349,0.148
114,M,37,3,lower,TRUE,Ramon Gregorio,vendor,,resC,market,25055.57,495.68,56.9,Increase household income | Protect family welfare | Improve social standing,0.401,0.292,0.315,0.607,0.289,0.553,0.141
115,F,41,4,lower,TRUE,Elvira Bautista,vendor,,resC,market,27428.26,254.25,70.13,Increase household income | Protect family welfare | Improve social standing,0.7,0.559,0.399,0.51,0.398,0.469,0.193
116,F,38,4,lower,TRUE,Pacita Aquino,vendor,,resC,market,21743.65,405.18,48.69,Increase household income | Protect family welfare | Improve social standing,0.479,0.653,0.488,0.613,0.602,0.621,0.16
117,F,21,3,lower,TRUE,Luzviminda Espiritu,vendor,,resC,market,38936.83,325.98,73.83,Increase household income | Protect family welfare | Improve social standing,0.565,0.324,0.324,0.484,0.488,0.58,-0.035
118,F,54,4,lower,TRUE,Gloria Ong,vendor,,resC,market,39539.08,284.86,66.73,Increase household income | Protect family welfare | Improve social standing,0.712,0.353,0.317,0.534,0.591,0.42,0.01
119,M,39,4,lower,TRUE,Tomas Flores,vendor,,resC,market,28295.93,322.66,74.13,Increase household income | Protect family welfare | Improve social standing,0.495,0.481,0.245,0.493,0.416,0.993,0.018
120,F,57,3,lower,TRUE,Esperanza Pascual,vendor,,resC,market,21279.22,360.89,61.22,Increase household income | Protect family welfare | Improve social standing,0.606,0.67,0.454,0.5,0.588,0.652,0.055
121,M,44,4,lower,TRUE,Pablo Gregorio,vendor,,resC,market,28268.61,301.04,68.55,Increase household income | Protect family welfare | Improve social standing,0.796,0.486,0.459,0.629,0.587,0.387,0.011
122,M,42,2,lower,TRUE,Lando Santos,vendor,,resC,market,30365.33,369.29,56.82,Increase household income | Protect family welfare | Improve social standing,0.411,0.353,0.479,0.718,0.694,0.516,0.057
123,M,64,2,lower,TRUE,Dante Padilla,vendor,,resC,market,32697.89,417.88,61.4,Increase household income | Protect family welfare | Improve social standing,0.341,0.397,0.559,0.651,0.365,0.626,0.041
124,M,59,4,lower,TRUE,Manny Bonifacio,vendor,,resC,market,36235.51,321.19,52.4,Increase household income | Protect family welfare | Improve social standing,0.585,0.628,0.404,0.344,0.464,0.635,0.132
125,F,53,4,lower,TRUE,Milagros Dizon,vendor,,resC,market,31657.95,257.09,64.16,Increase household income | Protect family welfare | Improve social standing,0.175,0.537,0.477,0.624,0.897,0.397,0.047
126,F,46,4,lower,TRUE,Ligaya Magno,vendor,,resC,market,32229.84,303.19,50.07,Increase household income | Protect family welfare | Improve social standing,0.712,0.656,0.194,0.788,0.655,0.211,0.114
127,F,32,2,lower,TRUE,Fely Ocampo,vendor,,resC,market,29661.55,305.7,41.78,Increase household income | Protect family welfare | Improve social standing,0.613,0.774,0.474,0.691,0.49,0.621,0.172
128,M,36,3,lower,TRUE,Oscar Luna,vendor,,resC,market,36362.46,423.09,70.82,Increase household income | Protect family welfare | Improve social standing,0.468,0.648,0.466,0.426,0.904,0.458,0.043
129,M,20,3,lower,TRUE,Efren Castro,vendor,,resC,market,47553,381.43,54.63,Increase household income | Protect family welfare | Improve social standing,0.789,0.593,0.437,0.411,0.479,0.258,0.151
130,F,49,2,lower,TRUE,Annaliza Navarro,vendor,,resC,market,47839.99,456.92,49.96,Increase household income | Protect family welfare | Improve social standing,0.904,0.351,0.774,0.362,0.694,0.561,0.197
131,F,57,4,lower,TRUE,Violeta Guevarra,vendor,,resC,market,37226.07,354.81,50.33,Increase household income | Protect family welfare | Improve social standing,0.511,0.77,0.382,0.713,0.358,0.358,0.102
132,M,37,4,lower,TRUE,Crisanto Reyes,vendor,,resC,market,30076.31,396.64,48.24,Increase household income | Protect family welfare | Improve social standing,0.486,0.494,0.453,0.416,0.584,0.653,0.126
133,M,58,3,lower,TRUE,Tomas Bonifacio,vendor,,resC,market,22915.73,224.91,71.07,Increase household income | Protect family welfare | Improve social standing,0.54,0.641,0.519,0.722,0.414,0.569,0.131
134,M,33,4,lower,TRUE,Ernesto Dela Cruz,vendor,,resC,market,24744.75,223.47,66.51,Increase household income | Protect family welfare | Improve social standing,0.619,0.87,0.336,0.523,0.645,0.54,0.141
135,M,46,2,lower,TRUE,Isidro Tolentino,vendor,,resC,market,34406.4,326.89,58.78,Increase household income | Protect family welfare | Improve social standing,0.369,0.471,0.284,0.756,0.715,0.733,-0.051
136,F,34,2,lower,TRUE,Herminia Tolentino,vendor,,resC,market,20580.05,320,63.55,Increase household income | Protect family welfare | Improve social standing,0.23,0.523,0.452,0.517,0.605,0.665,-0.008
137,F,59,4,lower,TRUE,Wilhelmina Ong,vendor,,resC,market,39008.15,344.1,50.05,Increase household income | Protect family welfare | Improve social standing,0.691,0.57,0.443,0.322,0.795,0.668,-0.046
